# As métricas que entram na tabela publicada deste tópico.
#
# Um ponto por tamanho de conjunto vivo, com p50 e p99. O p99,9 e o máximo
# ficam no metadata: a regra de decisão se decide no custo típico e no que o
# caminho quente sente, e a cauda extrema deste tópico é interferência da
# máquina, não da estrutura -- o tópico 08.01 mostrou isso com número.
#
# chave<TAB>rótulo pt<TAB>rótulo en<TAB>unidade
std::allocator_V64.p50	std::allocator, 64 vivos — p50	std::allocator, 64 live — p50	ns
pool_V64.p50	pool, 64 vivos — p50	pool, 64 live — p50	ns
std::allocator_V64.p99	std::allocator, 64 vivos — p99	std::allocator, 64 live — p99	ns
pool_V64.p99	pool, 64 vivos — p99	pool, 64 live — p99	ns
std::allocator_V512.p50	std::allocator, 512 vivos — p50	std::allocator, 512 live — p50	ns
pool_V512.p50	pool, 512 vivos — p50	pool, 512 live — p50	ns
std::allocator_V512.p99	std::allocator, 512 vivos — p99	std::allocator, 512 live — p99	ns
pool_V512.p99	pool, 512 vivos — p99	pool, 512 live — p99	ns
std::allocator_V4096.p50	std::allocator, 4096 vivos — p50	std::allocator, 4096 live — p50	ns
pool_V4096.p50	pool, 4096 vivos — p50	pool, 4096 live — p50	ns
std::allocator_V4096.p99	std::allocator, 4096 vivos — p99	std::allocator, 4096 live — p99	ns
pool_V4096.p99	pool, 4096 vivos — p99	pool, 4096 live — p99	ns
