# As métricas que entram na tabela publicada deste tópico.
#
# Os três braços no lote 512, que é onde a diferença entre a arena artesanal e a
# `pmr` é maior e ainda cabe no cache, mais o lote 64 como ponto de virada
# herdado do 01.01 e o 4096 como extremo.
#
# O lote 8 fica FORA da tabela: ali os três estão no piso do instrumento, e
# publicar a linha convidaria a comparar números que descrevem o relógio.
#
# chave<TAB>rótulo pt<TAB>rótulo en<TAB>unidade
std::allocator_L64.p50	std::allocator, lote 64 — p50	std::allocator, batch 64 — p50	ns
arena_L64.p50	arena artesanal, lote 64 — p50	hand-written arena, batch 64 — p50	ns
std::pmr_L64.p50	std::pmr, lote 64 — p50	std::pmr, batch 64 — p50	ns
std::allocator_L512.p50	std::allocator, lote 512 — p50	std::allocator, batch 512 — p50	ns
arena_L512.p50	arena artesanal, lote 512 — p50	hand-written arena, batch 512 — p50	ns
std::pmr_L512.p50	std::pmr, lote 512 — p50	std::pmr, batch 512 — p50	ns
std::allocator_L512.p99	std::allocator, lote 512 — p99	std::allocator, batch 512 — p99	ns
arena_L512.p99	arena artesanal, lote 512 — p99	hand-written arena, batch 512 — p99	ns
std::pmr_L512.p99	std::pmr, lote 512 — p99	std::pmr, batch 512 — p99	ns
std::allocator_L4096.p50	std::allocator, lote 4096 — p50	std::allocator, batch 4096 — p50	ns
arena_L4096.p50	arena artesanal, lote 4096 — p50	hand-written arena, batch 4096 — p50	ns
std::pmr_L4096.p50	std::pmr, lote 4096 — p50	std::pmr, batch 4096 — p50	ns
