braco,metrica,valor,unidade
clock_read,median,20.8408,ns
clock_read,minimum,20.7511,ns
clock_read,p99,22.2100,ns
clock_read,disp,0.19,percent
record_sample,median,0.1574,ns
record_sample,minimum,0.1573,ns
record_sample,p99,1.3375,ns
record_sample,disp,0.06,percent
per_op_floor,p50,20.0,ns
per_op_floor,p99,30.0,ns
per_op_floor,p999,31.0,ns
per_op_floor,maximum,31,ns
per_op_floor,samples,10000,count
per_op_floor,discarded,0,count
per_op_floor,highest_supported,0.9990,percentile
parametros,amostras,25,count
parametros,rodadas,200000,count
parametros,clock_period,1.0000,ns
