arm,metric,value,unit
clock_read,median,16.1390,ns
clock_read,minimum,16.0510,ns
clock_read,p99,18.4594,ns
clock_read,disp,4.61,percent
record_sample,median,0.1213,ns
record_sample,minimum,0.1212,ns
record_sample,p99,1.1354,ns
record_sample,disp,0.08,percent
per_op_floor,p50,20.0,ns
per_op_floor,p99,21.0,ns
per_op_floor,p999,21.0,ns
per_op_floor,maximum,21,ns
per_op_floor,samples,10000,count
per_op_floor,discarded,0,count
per_op_floor,highest_supported,0.9990,percentile
parameters,samples,25,count
parameters,rounds,200000,count
parameters,clock_period,1.0000,ns
